piece,obs,mean_ring,p_top_band,top_lift,best_ring,best_lift,p_ring1,p_ring2,p_ring3,p_ring4,p_ring5,p_ring6,p_ring7,lift1,lift2,lift3,lift4,lift5,lift6,lift7
179,123.84,3.004,0.1771,1.057,6,1.355,0.2814,0.2131,0.1032,0.1485,0.1397,0.1042,0.0099,1.291,1.039,0.619,0.827,1.09,1.355,0.386
162,138.82,3.005,0.1873,1.117,1,1.198,0.2612,0.2032,0.1345,0.1803,0.1303,0.0727,0.0178,1.198,0.991,0.807,1.004,1.016,0.946,0.693
114,134.1,3.01,0.1325,0.791,3,1.411,0.2462,0.166,0.2352,0.1276,0.137,0.0849,0.003,1.13,0.809,1.411,0.711,1.069,1.104,0.116
244,134.21,3.012,0.2417,1.442,4,1.129,0.2171,0.2193,0.1629,0.2027,0.1362,0.0568,0.005,0.996,1.069,0.978,1.129,1.063,0.738,0.194
252,123.64,3.014,0.2453,1.464,4,1.287,0.2135,0.1893,0.1971,0.231,0.1188,0.04,0.0103,0.98,0.923,1.182,1.287,0.927,0.52,0.401
185,137.44,3.016,0.1098,0.655,1,1.429,0.3114,0.1196,0.1366,0.2186,0.114,0.0866,0.0131,1.429,0.583,0.82,1.218,0.889,1.126,0.511
234,132.97,3.016,0.1835,1.095,4,1.129,0.2252,0.212,0.1564,0.2027,0.1354,0.0684,0.0,1.033,1.033,0.938,1.129,1.056,0.889,0.0
133,133.25,3.022,0.2024,1.208,6,1.39,0.2742,0.1406,0.1818,0.2028,0.0937,0.1069,0.0,1.258,0.685,1.091,1.13,0.731,1.39,0.0
87,134.19,3.024,0.1222,0.729,1,1.292,0.2816,0.1649,0.141,0.1789,0.1536,0.0539,0.0261,1.292,0.804,0.846,0.997,1.198,0.701,1.017
143,120.65,3.029,0.1161,0.693,7,3.082,0.2675,0.2165,0.1529,0.1502,0.0879,0.046,0.079,1.227,1.055,0.918,0.837,0.686,0.598,3.082
205,141.01,3.033,0.1429,0.853,4,1.322,0.2268,0.2053,0.1508,0.2374,0.0847,0.0951,0.0,1.041,1.001,0.905,1.322,0.66,1.236,0.0
237,134.7,3.036,0.1319,0.787,2,1.268,0.1702,0.2601,0.1844,0.1913,0.1442,0.0424,0.0074,0.781,1.268,1.106,1.066,1.125,0.552,0.29
130,137.05,3.039,0.1709,1.02,7,1.65,0.2971,0.1627,0.1621,0.1312,0.1188,0.0858,0.0423,1.363,0.793,0.972,0.731,0.927,1.116,1.65
120,130.56,3.041,0.1793,1.07,3,1.397,0.2138,0.171,0.2328,0.1809,0.1458,0.0558,0.0,0.981,0.833,1.397,1.008,1.137,0.726,0.0
72,131.82,3.042,0.1743,1.04,3,1.22,0.2424,0.1718,0.2033,0.1638,0.1292,0.082,0.0076,1.112,0.838,1.22,0.912,1.008,1.066,0.296
95,133.37,3.045,0.1525,0.91,3,1.267,0.2087,0.1993,0.2112,0.168,0.1492,0.0585,0.005,0.958,0.972,1.267,0.936,1.164,0.761,0.195
230,135.93,3.048,0.1647,0.983,6,1.248,0.2673,0.1619,0.15,0.1966,0.1263,0.096,0.0018,1.226,0.789,0.9,1.095,0.986,1.248,0.072
99,133.17,3.054,0.2062,1.23,6,1.185,0.2432,0.1747,0.1704,0.199,0.1215,0.0911,0.0,1.116,0.852,1.023,1.109,0.948,1.185,0.0
134,126.46,3.058,0.1899,1.133,3,1.246,0.1717,0.2338,0.2077,0.1951,0.1452,0.0371,0.0095,0.788,1.14,1.246,1.087,1.132,0.482,0.37
255,125.63,3.062,0.1793,1.07,3,1.343,0.2448,0.1257,0.2239,0.2008,0.1388,0.0661,0.0,1.123,0.613,1.343,1.119,1.083,0.859,0.0
168,126.48,3.071,0.1259,0.751,4,1.146,0.2293,0.1818,0.1894,0.2057,0.0905,0.0877,0.0155,1.052,0.886,1.136,1.146,0.706,1.14,0.604
206,138.8,3.071,0.1761,1.051,2,1.261,0.1492,0.2586,0.2045,0.1975,0.1401,0.05,0.0,0.685,1.261,1.227,1.101,1.093,0.649,0.0
224,130.06,3.079,0.2317,1.382,6,1.708,0.2626,0.1556,0.1818,0.1867,0.0743,0.1314,0.0077,1.205,0.758,1.091,1.04,0.579,1.708,0.3
253,123.16,3.08,0.1805,1.077,4,1.168,0.2326,0.1782,0.1629,0.2097,0.1386,0.0753,0.0027,1.067,0.869,0.977,1.168,1.081,0.979,0.106
80,129.67,3.081,0.1615,0.964,5,1.287,0.2404,0.1853,0.1481,0.1948,0.1651,0.0433,0.0231,1.103,0.903,0.888,1.085,1.287,0.563,0.902
141,136.62,3.082,0.158,0.943,7,2.046,0.2504,0.2254,0.1331,0.143,0.132,0.0637,0.0525,1.149,1.099,0.799,0.797,1.029,0.828,2.046
187,131.57,3.082,0.1179,0.704,5,1.24,0.2109,0.2248,0.1654,0.16,0.159,0.0685,0.0114,0.968,1.096,0.993,0.891,1.24,0.891,0.445
190,137.85,3.084,0.207,1.235,4,1.328,0.1798,0.1957,0.2104,0.2383,0.1334,0.0351,0.0073,0.825,0.954,1.262,1.328,1.041,0.456,0.283
129,122.36,3.086,0.1636,0.976,1,1.298,0.283,0.1163,0.1687,0.1846,0.1587,0.0887,0.0,1.298,0.567,1.012,1.028,1.238,1.154,0.0
208,132.75,3.089,0.1631,0.973,6,1.436,0.2664,0.1455,0.1607,0.21,0.1008,0.1105,0.006,1.222,0.71,0.964,1.17,0.786,1.436,0.235
92,131.27,3.091,0.1676,1.0,5,1.216,0.2364,0.1803,0.1537,0.1982,0.1559,0.0679,0.0076,1.085,0.879,0.922,1.104,1.216,0.883,0.297
77,135.92,3.094,0.1371,0.818,4,1.167,0.1951,0.2257,0.1574,0.2094,0.1422,0.0646,0.0055,0.895,1.1,0.945,1.167,1.109,0.84,0.215
216,131.05,3.096,0.1827,1.09,4,1.589,0.2239,0.15,0.1677,0.2852,0.1111,0.0621,0.0,1.027,0.731,1.006,1.589,0.867,0.807,0.0
217,135.95,3.096,0.1598,0.953,2,1.471,0.1378,0.3018,0.1507,0.2377,0.0976,0.0573,0.0172,0.632,1.471,0.904,1.324,0.761,0.744,0.669
221,131.08,3.096,0.1729,1.032,3,1.356,0.1466,0.2552,0.226,0.1749,0.1308,0.059,0.0076,0.672,1.244,1.356,0.974,1.02,0.767,0.298
103,136.6,3.097,0.2202,1.314,7,1.863,0.2563,0.177,0.1609,0.1989,0.0802,0.0789,0.0478,1.176,0.863,0.966,1.108,0.626,1.025,1.863
96,138.32,3.1,0.1733,1.034,4,1.45,0.1971,0.1784,0.1891,0.2603,0.1156,0.0575,0.0021,0.904,0.87,1.135,1.45,0.901,0.747,0.081
112,131.47,3.1,0.158,0.943,5,1.453,0.2204,0.2084,0.1609,0.1594,0.1862,0.0419,0.0228,1.011,1.016,0.965,0.888,1.453,0.545,0.89
140,129.29,3.101,0.1433,0.855,7,1.484,0.2479,0.2099,0.1189,0.1982,0.1043,0.0826,0.038,1.138,1.023,0.713,1.104,0.814,1.074,1.484
90,141.03,3.105,0.1363,0.813,4,1.213,0.2371,0.1878,0.1311,0.2177,0.1378,0.0804,0.0082,1.088,0.916,0.786,1.213,1.074,1.045,0.319
83,131.37,3.111,0.15,0.895,7,1.382,0.247,0.1699,0.1639,0.1953,0.1277,0.0607,0.0354,1.133,0.828,0.983,1.088,0.996,0.79,1.382
63,136.66,3.113,0.1629,0.972,3,1.211,0.2291,0.1642,0.2018,0.1745,0.1525,0.0556,0.0223,1.051,0.801,1.211,0.972,1.189,0.723,0.87
131,129.22,3.113,0.1616,0.965,3,1.458,0.1537,0.1988,0.2431,0.2441,0.1104,0.0462,0.0039,0.705,0.969,1.458,1.36,0.861,0.6,0.151
149,127.53,3.113,0.1483,0.885,6,1.546,0.2168,0.2598,0.1334,0.1552,0.0846,0.1189,0.0313,0.995,1.267,0.8,0.865,0.66,1.546,1.219
225,125.56,3.113,0.2223,1.327,4,1.166,0.2052,0.2037,0.1632,0.2094,0.1452,0.0662,0.0073,0.941,0.993,0.979,1.166,1.132,0.86,0.285
231,134.06,3.117,0.1434,0.856,4,1.168,0.2477,0.1385,0.1895,0.2096,0.116,0.085,0.0137,1.137,0.675,1.137,1.168,0.905,1.105,0.533
75,131.29,3.12,0.1668,0.995,1,1.206,0.2629,0.1072,0.1983,0.2013,0.1415,0.0864,0.0023,1.206,0.523,1.19,1.121,1.104,1.123,0.089
204,137.77,3.121,0.1356,0.809,5,1.317,0.1917,0.2528,0.1122,0.2094,0.1689,0.05,0.015,0.879,1.232,0.673,1.167,1.317,0.65,0.585
194,132.49,3.122,0.1436,0.857,5,1.409,0.1581,0.2584,0.1678,0.1905,0.1807,0.0332,0.0113,0.725,1.26,1.007,1.061,1.409,0.432,0.442
233,117.78,3.122,0.1696,1.012,4,1.139,0.2282,0.1801,0.1563,0.2044,0.1452,0.079,0.0068,1.047,0.878,0.938,1.139,1.133,1.026,0.265
135,125.61,3.132,0.2255,1.346,3,1.156,0.2038,0.1946,0.1927,0.1754,0.1471,0.0804,0.006,0.935,0.949,1.156,0.977,1.147,1.046,0.233
118,136.41,3.136,0.1587,0.947,2,1.248,0.1817,0.256,0.1567,0.1669,0.1442,0.0777,0.0168,0.834,1.248,0.94,0.93,1.125,1.01,0.653
236,127.29,3.139,0.1017,0.607,5,1.258,0.2036,0.1733,0.1812,0.2239,0.1613,0.0542,0.0026,0.934,0.845,1.087,1.247,1.258,0.705,0.102
238,129.94,3.144,0.1356,0.809,5,1.42,0.2687,0.1291,0.1561,0.1728,0.1821,0.0912,0.0,1.233,0.63,0.937,0.963,1.42,1.186,0.0
173,137.09,3.158,0.1473,0.879,6,1.318,0.2222,0.1862,0.1465,0.2294,0.1013,0.1014,0.0131,1.02,0.907,0.879,1.278,0.79,1.318,0.512
214,134.07,3.158,0.2318,1.383,2,1.2,0.1615,0.2461,0.1764,0.1879,0.1452,0.0829,0.0,0.741,1.2,1.058,1.047,1.132,1.078,0.0
171,130.67,3.16,0.1516,0.905,6,1.965,0.2557,0.1539,0.2121,0.117,0.093,0.1512,0.0171,1.173,0.75,1.273,0.652,0.725,1.965,0.668
128,129.04,3.161,0.187,1.116,5,1.271,0.2327,0.1623,0.1584,0.2017,0.163,0.0664,0.0155,1.067,0.791,0.95,1.124,1.271,0.863,0.604
153,130.69,3.161,0.1675,1.0,6,1.277,0.2193,0.1886,0.1717,0.2076,0.086,0.0982,0.0285,1.006,0.919,1.03,1.156,0.671,1.277,1.112
189,126.16,3.162,0.1341,0.8,4,1.306,0.2009,0.1915,0.1632,0.2344,0.1245,0.0696,0.0159,0.922,0.934,0.979,1.306,0.971,0.905,0.618
159,129.69,3.168,0.1453,0.867,3,1.466,0.2124,0.1448,0.2444,0.1937,0.1048,0.0658,0.0342,0.975,0.706,1.466,1.079,0.817,0.855,1.333
104,134.21,3.172,0.1959,1.169,7,2.929,0.3035,0.1462,0.1171,0.1624,0.1241,0.0716,0.0751,1.393,0.713,0.702,0.905,0.968,0.931,2.929
68,130.26,3.174,0.1469,0.876,7,1.86,0.23,0.1931,0.1748,0.1483,0.1304,0.0756,0.0477,1.055,0.941,1.049,0.826,1.017,0.983,1.86
121,145.23,3.174,0.1667,0.995,5,1.35,0.2669,0.1705,0.0948,0.1911,0.1731,0.0734,0.0302,1.225,0.831,0.569,1.064,1.35,0.955,1.176
94,130.74,3.175,0.1676,1.0,4,1.186,0.1983,0.1847,0.1831,0.2128,0.1357,0.0695,0.0159,0.91,0.9,1.099,1.186,1.058,0.904,0.62
66,120.21,3.176,0.1665,0.994,7,1.947,0.2383,0.1953,0.1547,0.1523,0.1323,0.0773,0.0499,1.093,0.952,0.928,0.848,1.032,1.004,1.947
197,125.17,3.176,0.1237,0.738,4,1.48,0.2151,0.1232,0.2016,0.2656,0.1286,0.0573,0.0087,0.987,0.601,1.21,1.48,1.003,0.744,0.338
61,131.55,3.178,0.1326,0.791,4,1.231,0.1669,0.2095,0.2013,0.2209,0.1111,0.0827,0.0076,0.766,1.021,1.208,1.231,0.867,1.076,0.296
198,121.05,3.187,0.2084,1.243,4,1.164,0.1777,0.2009,0.1904,0.209,0.1402,0.0736,0.0083,0.815,0.98,1.142,1.164,1.093,0.957,0.322
107,135.13,3.192,0.154,0.919,6,1.518,0.2764,0.1379,0.1538,0.1571,0.1284,0.1168,0.0296,1.268,0.673,0.923,0.875,1.001,1.518,1.154
195,127.54,3.205,0.1267,0.756,5,1.461,0.1762,0.2175,0.1521,0.2002,0.1873,0.0667,0.0,0.808,1.06,0.912,1.115,1.461,0.868,0.0
196,123.54,3.208,0.1836,1.095,3,1.255,0.1698,0.2055,0.2092,0.1677,0.1583,0.0896,0.0,0.779,1.002,1.255,0.934,1.234,1.164,0.0
202,139.79,3.212,0.1547,0.923,4,1.461,0.1478,0.2352,0.1422,0.2623,0.1785,0.0125,0.0215,0.678,1.147,0.853,1.461,1.392,0.163,0.837
228,126.06,3.214,0.1347,0.803,3,1.231,0.2345,0.1105,0.2052,0.2096,0.1437,0.0884,0.0079,1.076,0.539,1.231,1.168,1.121,1.15,0.309
69,137.4,3.224,0.1773,1.058,3,1.397,0.1768,0.1727,0.2329,0.1981,0.131,0.0637,0.0249,0.811,0.842,1.397,1.104,1.021,0.828,0.97
126,131.17,3.23,0.1218,0.727,6,1.915,0.206,0.2197,0.1583,0.1533,0.0975,0.1473,0.0178,0.945,1.071,0.95,0.854,0.761,1.915,0.694
154,128.4,3.232,0.1519,0.906,6,1.496,0.2226,0.1555,0.1747,0.1999,0.1205,0.1151,0.0117,1.021,0.758,1.048,1.114,0.94,1.496,0.456
201,134.77,3.234,0.1811,1.081,5,1.417,0.1641,0.1983,0.1934,0.1964,0.1816,0.0632,0.003,0.753,0.967,1.16,1.094,1.417,0.821,0.116
229,132.41,3.239,0.1869,1.115,6,1.741,0.1938,0.222,0.1539,0.1611,0.1278,0.1339,0.0076,0.889,1.082,0.923,0.897,0.997,1.741,0.295
111,130.85,3.249,0.1563,0.932,6,1.693,0.222,0.1716,0.1651,0.165,0.1377,0.1302,0.0083,1.019,0.836,0.991,0.919,1.074,1.693,0.325
193,136.13,3.253,0.148,0.883,5,1.573,0.1899,0.1683,0.1998,0.1637,0.2017,0.0729,0.0037,0.871,0.82,1.199,0.912,1.573,0.948,0.143
199,137.38,3.253,0.1201,0.717,5,1.61,0.2128,0.1445,0.1464,0.2299,0.2064,0.06,0.0,0.976,0.704,0.878,1.281,1.61,0.78,0.0
150,139.94,3.255,0.1686,1.006,7,1.417,0.2125,0.1488,0.2081,0.1758,0.1476,0.0708,0.0363,0.975,0.726,1.249,0.979,1.151,0.92,1.417
223,123.38,3.259,0.1095,0.653,6,1.855,0.2449,0.095,0.2276,0.1688,0.1183,0.1427,0.0027,1.124,0.463,1.366,0.94,0.922,1.855,0.105
165,123.32,3.266,0.1571,0.938,7,1.581,0.1983,0.2371,0.1003,0.2286,0.0767,0.1184,0.0405,0.91,1.156,0.602,1.274,0.598,1.54,1.581
186,129.11,3.274,0.1403,0.837,6,1.315,0.1939,0.1649,0.1862,0.223,0.1119,0.1011,0.019,0.889,0.804,1.117,1.243,0.873,1.315,0.74
192,116.45,3.28,0.1673,0.998,4,1.324,0.1993,0.1467,0.1788,0.2376,0.1312,0.1006,0.0057,0.915,0.715,1.073,1.324,1.024,1.308,0.223
184,133.37,3.284,0.1419,0.847,6,1.467,0.2059,0.1733,0.1681,0.1566,0.1793,0.1128,0.0039,0.945,0.845,1.009,0.872,1.398,1.467,0.153
161,129.69,3.287,0.1502,0.896,2,1.256,0.1226,0.2577,0.187,0.1913,0.1463,0.0745,0.0206,0.563,1.256,1.122,1.066,1.141,0.969,0.802
70,133.71,3.288,0.1286,0.767,5,1.194,0.145,0.2245,0.1835,0.199,0.153,0.0825,0.0125,0.665,1.094,1.101,1.109,1.194,1.073,0.486
183,130.98,3.29,0.1347,0.804,3,1.273,0.1466,0.1886,0.2121,0.2275,0.1385,0.0789,0.0076,0.673,0.92,1.273,1.268,1.08,1.026,0.298
174,132.43,3.292,0.1386,0.827,7,1.276,0.2188,0.161,0.1572,0.1945,0.1417,0.094,0.0327,1.004,0.785,0.943,1.084,1.105,1.222,1.276
167,128.14,3.296,0.1192,0.711,6,1.946,0.2378,0.1509,0.1462,0.1933,0.1041,0.1497,0.0181,1.091,0.736,0.877,1.077,0.812,1.946,0.704
215,132.33,3.3,0.1391,0.83,4,1.43,0.1799,0.165,0.1736,0.2567,0.1219,0.0878,0.0151,0.825,0.805,1.042,1.43,0.951,1.141,0.589
71,133.8,3.301,0.1292,0.771,7,1.919,0.1834,0.2063,0.1676,0.1861,0.1308,0.0766,0.0492,0.842,1.005,1.006,1.037,1.02,0.996,1.919
65,136.86,3.306,0.1171,0.699,5,1.309,0.1842,0.1534,0.1813,0.2331,0.1678,0.0619,0.0183,0.845,0.748,1.088,1.299,1.309,0.804,0.712
151,130.72,3.312,0.1736,1.036,6,2.012,0.2035,0.2051,0.1924,0.1132,0.089,0.1548,0.042,0.934,1.0,1.154,0.631,0.694,2.012,1.638
213,130.42,3.317,0.1704,1.017,4,1.333,0.0929,0.257,0.1961,0.2392,0.1397,0.0594,0.0157,0.426,1.253,1.177,1.333,1.09,0.773,0.611
86,129.79,3.32,0.0882,0.526,5,1.391,0.1791,0.1563,0.1619,0.2475,0.1783,0.0768,0.0,0.822,0.762,0.972,1.379,1.391,0.999,0.0
148,132.93,3.328,0.1534,0.916,5,1.525,0.2199,0.179,0.1153,0.167,0.1955,0.1049,0.0185,1.009,0.872,0.692,0.93,1.525,1.364,0.722
235,135.64,3.328,0.1668,0.995,5,1.664,0.2157,0.1334,0.1407,0.2148,0.2133,0.0765,0.0055,0.989,0.65,0.844,1.197,1.664,0.995,0.216
78,140.83,3.331,0.1353,0.807,3,1.391,0.1051,0.249,0.2318,0.1543,0.1713,0.0616,0.027,0.482,1.214,1.391,0.859,1.336,0.801,1.052
81,133.97,3.339,0.1046,0.624,7,1.805,0.1655,0.1584,0.2391,0.1789,0.1711,0.0407,0.0463,0.76,0.772,1.434,0.997,1.334,0.53,1.805
122,135.15,3.342,0.1601,0.955,6,1.597,0.2015,0.1356,0.1887,0.2054,0.1386,0.1228,0.0074,0.924,0.661,1.132,1.144,1.081,1.597,0.289
158,130.17,3.374,0.1392,0.83,7,2.759,0.2235,0.1926,0.1251,0.1599,0.1138,0.1143,0.0707,1.025,0.939,0.751,0.891,0.888,1.486,2.759
